,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
0,A,17.08.2019 11:05,U6,1,D,1,SVX,320,160,152,205
1,D,17.08.2019 19:15,U6,2,D,1,SIP,320,160,95,89
2,D,17.08.2019 11:55,U6,439,D,1,SVX,320,160,159,89
3,A,17.08.2019 18:20,U6,440,D,1,SIP,320,160,160,205
4,D,17.08.2019 12:05,AH,3001,I,5,ALG,738,160,94,10
5,D,17.08.2019 6:00,SU,2,D,1,LED,SU9,87,75,205
6,A,17.08.2019 9:35,SU,3,D,1,LED,SU9,87,79,88
7,D,17.08.2019 16:50,SU,1022,D,1,VOZ,SU9,87,64,217
8,A,17.08.2019 20:30,SU,1023,D,1,VOZ,SU9,87,82,205
9,D,17.08.2019 9:30,SU,1100,D,1,KRR,SU9,87,80,206
10,A,17.08.2019 15:25,SU,1101,D,1,KRR,SU9,87,83,205
11,D,17.08.2019 0:35,SU,1132,D,1,AER,SU9,87,82,88
12,A,17.08.2019 14:35,SU,1133,D,1,AER,SU9,87,70,205
13,D,17.08.2019 13:20,SU,1156,D,1,ROV,SU9,87,77,89
14,D,17.08.2019 1:55,SU,1164,D,1,ROV,SU9,87,81,191
15,A,17.08.2019 7:45,SU,1165,D,1,ROV,SU9,87,69,205
16,D,17.08.2019 17:35,SU,1186,D,1,VOG,SU9,87,79,89
17,A,17.08.2019 22:10,SU,1187,D,1,VOG,SU9,87,85,89
18,D,17.08.2019 1:50,SU,1206,D,1,KUF,SU9,87,76,88
19,A,17.08.2019 6:10,SU,1207,D,1,KUF,SU9,87,79,206
20,D,17.08.2019 1:25,SU,1218,D,1,PEE,SU9,87,85,206
21,A,17.08.2019 6:40,SU,1219,D,1,PEE,SU9,87,80,88
22,D,17.08.2019 9:45,SU,1220,D,1,GOJ,SU9,87,84,89
23,A,17.08.2019 13:15,SU,1221,D,1,GOJ,SU9,87,79,217
24,D,17.08.2019 16:30,SU,1226,D,1,GOJ,SU9,87,77,217
25,A,17.08.2019 19:55,SU,1227,D,1,GOJ,SU9,87,53,205
26,D,17.08.2019 6:00,SU,1228,D,1,GOJ,SU9,87,72,88
27,A,17.08.2019 9:25,SU,1229,D,1,GOJ,SU9,87,70,206
28,D,17.08.2019 9:30,SU,1230,D,1,UFA,SU9,87,84,217
29,A,17.08.2019 14:55,SU,1231,D,1,UFA,SU9,87,84,205
30,D,17.08.2019 18:05,SU,1260,D,1,UFA,SU9,87,48,217
31,A,17.08.2019 23:35,SU,1261,D,1,UFA,SU9,87,38,205
32,D,17.08.2019 10:45,SU,1286,D,1,ULV,SU9,87,85,89
33,A,17.08.2019 15:00,SU,1287,D,1,ULV,SU9,87,72,217
34,D,17.08.2019 1:50,SU,1288,D,1,ULV,SU9,87,82,190
35,A,17.08.2019 6:55,SU,1289,D,1,ULV,SU9,87,59,89
36,D,17.08.2019 16:55,SU,1292,D,1,IJK,SU9,87,82,217
37,A,17.08.2019 21:50,SU,1293,D,1,IJK,SU9,87,73,205
38,D,17.08.2019 23:25,SU,1294,D,1,IJK,SU9,87,72,217
39,A,17.08.2019 4:20,SU,1295,D,1,IJK,SU9,87,65,205
40,D,17.08.2019 17:50,SU,1316,D,1,MMK,SU9,87,70,217
