,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
0,A,17.08.2019 11:05,U6,1,D,1,SVX,320,160,152,205
1,D,17.08.2019 19:15,U6,2,D,1,SIP,320,160,95,206
2,D,17.08.2019 11:55,U6,439,D,1,SVX,320,160,159,193
3,A,17.08.2019 18:20,U6,440,D,1,SIP,320,160,160,206
4,D,17.08.2019 12:05,AH,3001,I,5,ALG,738,160,94,34
5,D,17.08.2019 6:00,SU,2,D,1,LED,SU9,87,75,205
6,A,17.08.2019 9:35,SU,3,D,1,LED,SU9,87,79,197
7,D,17.08.2019 16:50,SU,1022,D,1,VOZ,SU9,87,64,213
8,A,17.08.2019 20:30,SU,1023,D,1,VOZ,SU9,87,82,192
9,D,17.08.2019 9:30,SU,1100,D,1,KRR,SU9,87,80,206
10,A,17.08.2019 15:25,SU,1101,D,1,KRR,SU9,87,83,192
11,D,17.08.2019 0:35,SU,1132,D,1,AER,SU9,87,82,192
12,A,17.08.2019 14:35,SU,1133,D,1,AER,SU9,87,70,199
13,D,17.08.2019 13:20,SU,1156,D,1,ROV,SU9,87,77,191
14,D,17.08.2019 1:55,SU,1164,D,1,ROV,SU9,87,81,192
15,A,17.08.2019 7:45,SU,1165,D,1,ROV,SU9,87,69,193
16,D,17.08.2019 17:35,SU,1186,D,1,VOG,SU9,87,79,203
17,A,17.08.2019 22:10,SU,1187,D,1,VOG,SU9,87,85,190
18,D,17.08.2019 1:50,SU,1206,D,1,KUF,SU9,87,76,202
19,A,17.08.2019 6:10,SU,1207,D,1,KUF,SU9,87,79,203
20,D,17.08.2019 1:25,SU,1218,D,1,PEE,SU9,87,85,193
21,A,17.08.2019 6:40,SU,1219,D,1,PEE,SU9,87,80,192
22,D,17.08.2019 9:45,SU,1220,D,1,GOJ,SU9,87,84,213
23,A,17.08.2019 13:15,SU,1221,D,1,GOJ,SU9,87,79,88
24,D,17.08.2019 16:30,SU,1226,D,1,GOJ,SU9,87,77,88
25,A,17.08.2019 19:55,SU,1227,D,1,GOJ,SU9,87,53,194
26,D,17.08.2019 6:00,SU,1228,D,1,GOJ,SU9,87,72,210
